Category: All categories

Week,Coronavirus: (Worldwide),Vaccine: (Worldwide),News: (Worldwide),Weather: (Worldwide)
2020-01-05,<1,<1,16,30
2020-01-12,<1,<1,14,31
2020-01-19,4,<1,13,30
2020-01-26,16,1,15,27
2020-02-02,9,<1,14,30
2020-02-09,7,1,13,32
2020-02-16,8,<1,13,29
2020-02-23,29,1,16,29
2020-03-01,35,1,17,28
2020-03-08,76,1,22,28
2020-03-15,100,2,29,25
2020-03-22,90,2,27,24
2020-03-29,74,1,22,25
2020-04-05,71,1,21,24
2020-04-12,62,1,18,25
2020-04-19,48,1,17,25
2020-04-26,37,1,17,26
2020-05-03,32,1,15,27
2020-05-10,27,1,15,29
2020-05-17,22,1,14,31
2020-05-24,20,1,15,32
2020-05-31,17,1,16,36
2020-06-07,17,1,14,35
2020-06-14,16,1,14,33
2020-06-21,16,1,15,35
2020-06-28,17,1,15,34
2020-07-05,17,1,15,34
2020-07-12,17,1,15,33
2020-07-19,16,1,14,34
2020-07-26,16,1,14,33
2020-08-02,16,1,15,30
2020-08-09,13,2,15,33
2020-08-16,12,1,15,34
2020-08-23,11,1,14,32
2020-08-30,10,1,14,30
2020-09-06,11,1,14,29
2020-09-13,11,1,14,27
2020-09-20,10,1,13,29
2020-09-27,10,1,14,28
2020-10-04,11,1,14,30
2020-10-11,13,1,14,29
2020-10-18,13,1,13,29
2020-10-25,14,1,14,29
2020-11-01,11,1,17,24
2020-11-08,12,2,15,26
2020-11-15,12,2,14,27
2020-11-22,11,1,13,27
2020-11-29,10,2,12,28
2020-12-06,11,2,13,30
2020-12-13,12,3,13,29
2020-12-20,11,3,13,31
2020-12-27,11,3,13,33
2021-01-03,12,4,15,32
2021-01-10,11,5,14,35
2021-01-17,10,5,13,31
2021-01-24,9,5,14,33
2021-01-31,8,5,13,32
2021-02-07,8,5,12,36
2021-02-14,7,5,12,36
2021-02-21,7,5,12,28
2021-02-28,8,7,12,29
2021-03-07,8,7,12,30
2021-03-14,8,8,12,30
2021-03-21,10,7,13,31
2021-03-28,9,8,12,31
2021-04-04,10,8,13,31
2021-04-11,10,8,13,32
2021-04-18,11,7,13,31
2021-04-25,11,8,12,32
2021-05-02,10,8,14,32
2021-05-09,10,9,14,34
2021-05-16,9,9,14,36
2021-05-23,9,9,13,35
2021-05-30,8,10,13,37
2021-06-06,7,9,13,35
2021-06-13,6,9,13,37
2021-06-20,6,10,13,38
2021-06-27,6,9,12,40
2021-07-04,6,7,13,43
